sentence,target,label,implicit,source
"i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,2,1,restaurants
the fried rice is amazing here.,fried rice,0,0,restaurants
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,0,0,restaurants
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,0,0,restaurants
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,0,0,restaurants
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,0,0,restaurants
"three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,2,1,restaurants
it's a perfect place to have a amanzing indian food.,indian food,0,0,restaurants
the place is so cool and the service is prompt and curtious.,service,0,0,restaurants
the place is so cool and the service is prompt and curtious.,place,0,0,restaurants
at the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,0,0,restaurants
i just wonder how you can have such a delicious meal for such little money.,meal,0,0,restaurants
i just wonder how you can have such a delicious meal for such little money.,money,0,0,restaurants
the wine list is excellent.,wine list,0,0,restaurants
"ive been to many thai restaurants in manhattan before, and toons is by far the best thai food ive had (except for my mom's of course).",Thai food,0,0,restaurants
they wouldnt even let me finish my glass of wine before offering another.,glass of wine,2,1,restaurants
"whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,2,1,restaurants
this is a consistently great place to dine for lunch or dinner.,lunch,2,1,restaurants
this is a consistently great place to dine for lunch or dinner.,dinner,2,1,restaurants
this is a consistently great place to dine for lunch or dinner.,dine,0,0,restaurants
"nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,0,0,restaurants
"nice atmosphere, the service was very pleasant and the desert was good.",service,0,0,restaurants
"nice atmosphere, the service was very pleasant and the desert was good.",desert,0,0,restaurants
after really enjoying ourselves at the bar we sat down at a table and had dinner.,bar,0,0,restaurants
after really enjoying ourselves at the bar we sat down at a table and had dinner.,table,2,0,restaurants
after really enjoying ourselves at the bar we sat down at a table and had dinner.,dinner,2,0,restaurants
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",service,0,0,restaurants
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",food,0,0,restaurants
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",atmosphere,0,0,restaurants
"fabulous service, fantastic food, and a chilled out atmosphere and environment.",environment,0,0,restaurants
try the lasagnette appetizer.,lasagnette appetizer,0,1,restaurants
i liked the beer selection!,beer selection,0,0,restaurants
"great food, good size menu, great service and an unpretensious setting.",food,0,0,restaurants
"great food, good size menu, great service and an unpretensious setting.",menu,0,0,restaurants
"great food, good size menu, great service and an unpretensious setting.",service,0,0,restaurants
"great food, good size menu, great service and an unpretensious setting.",setting,0,0,restaurants
go here for a romantic dinner but not for an all out wow dining experience.,dinner,0,0,restaurants
go here for a romantic dinner but not for an all out wow dining experience.,dining,0,0,restaurants
i grew up eating dosa and have yet to find a place in ny to satisfy my taste buds.,Dosa,2,1,restaurants
wine list selection is good and wine-by-the-glass was generously filled to the top.,Wine list selection,0,0,restaurants
wine list selection is good and wine-by-the-glass was generously filled to the top.,wine-by-the-glass,0,0,restaurants
"with the great variety on the menu , i eat here often and never get bored .",menu,0,0,restaurants
the menu is very limited - i think we counted 4 or 5 entrees.,menu,1,0,restaurants
the menu is very limited - i think we counted 4 or 5 entrees.,entrees,1,1,restaurants
the menu is limited but almost all of the dishes are excellent.,menu,1,0,restaurants
the menu is limited but almost all of the dishes are excellent.,dishes,0,0,restaurants
not too crazy about their sake martini.,sake martini,1,0,restaurants
"great bagels, spreads and a good place to hang out in.",bagels,0,0,restaurants
"great bagels, spreads and a good place to hang out in.",spreads,0,0,restaurants
one thing i liked about this place is that i never felt rushed or pressured to give up my table ot incoming guests.,table,2,1,restaurants
"unfortunately, the food is outstanding, but everything else about this restaurant is the pits.",food,0,0,restaurants
we always have a delicious meal and always leave feeling satisfied.,meal,0,0,restaurants
"dip the ingredients in with your chopsticks, swirl them around, and eat.",ingredients,2,1,restaurants
"dip the ingredients in with your chopsticks, swirl them around, and eat.",chopsticks,2,1,restaurants
first went here to enjoy their garden terrace.,garden terrace,0,0,restaurants
the pizza was pretty good and huge.,pizza,0,0,restaurants
"the cuisine from what i've gathered is authentic taiwanese, though its very different from what i've been accustomed to in taipei.",cuisine,2,0,restaurants
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded.,atmosphere,0,0,restaurants
they are often crowded on the weekends but they are efficient and accurate with their service.,service,0,0,restaurants
they are often crowded on the weekends but they are efficient and accurate with their service.,crowded,1,0,restaurants
all my co-workers were amazed at how small the dish was.,dish,1,0,restaurants
"the atmosphere is unheralded, the service impecible, and the food magnificant.",atmosphere,0,0,restaurants
"the atmosphere is unheralded, the service impecible, and the food magnificant.",service,0,0,restaurants
"the atmosphere is unheralded, the service impecible, and the food magnificant.",food,0,0,restaurants
"we ordered the special, grilled branzino, that was so infused with bone, it was difficult to eat.",grilled branzino,1,0,restaurants
"the wait staff is friendly, and the food has gotten better and better!",wait staff,0,0,restaurants
"the wait staff is friendly, and the food has gotten better and better!",food,0,0,restaurants
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",vibe,0,0,restaurants
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",French food,0,0,restaurants
"it may be a bit packed on weekends, but the vibe is good and it is the best french food you will find in the area.",packed,1,1,restaurants
right off the l in brooklyn this is a nice cozy place with good pizza.,pizza,0,0,restaurants
right off the l in brooklyn this is a nice cozy place with good pizza.,place,0,0,restaurants
le pere pinard has a $15 pre-theater menu that is outstanding.,pre-theater menu,0,0,restaurants
i also ordered for delivery and the restaurant forgot half the order.,delivery,1,0,restaurants
i also ordered for delivery and the restaurant forgot half the order.,order,1,0,restaurants
our server checked on us maybe twice during the entire meal.,server,1,1,restaurants
our server checked on us maybe twice during the entire meal.,meal,2,1,restaurants
the strong scents coming from the left and right of me negatively affected my taste buds.,scents,1,0,restaurants
we had the lobster sandwich and it was fantastic.,lobster sandwich,0,0,restaurants
"had we been stalling i could understand where they were coming from, but we had been there less than an hour and they hadn't even brought us a check yet!",check,1,1,restaurants
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",price,0,0,restaurants
"though the spider roll may look like a challenge to eat, with soft shell crab hanging out of the roll, it is well worth the price you pay for them.",shell crab,0,0,restaurants
deep fried skewers are good and still rare to find in nyc.,Deep Fried Skewers,0,0,restaurants
"i have tried to make reservations, but both times, the hostess didn't have my name.",reservations,2,1,restaurants
"i have tried to make reservations, but both times, the hostess didn't have my name.",hostess,1,1,restaurants
i also recommend the rice dishes or the different varieties of congee (rice porridge).,rice dishes,0,0,restaurants
i also recommend the rice dishes or the different varieties of congee (rice porridge).,congee (rice porridge),0,0,restaurants
their tuna tartar appetizer is to die for.,tuna tartar appetizer,0,0,restaurants
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",chef,0,0,restaurants
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",fish dishes,0,0,restaurants
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",soups,0,0,restaurants
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",kitchen,0,0,restaurants
"an oasis of refinement:  food, though somewhat uneven, often reaches the pinnacles of new american fine cuisine - chef's passion (and kitchen's precise execution) is most evident in the fish dishes and soups.",cuisine,0,1,restaurants
"if you love wine and cheese and delicious french fare, you'll love artisanal!",wine,0,0,restaurants
"if you love wine and cheese and delicious french fare, you'll love artisanal!",french fare,0,0,restaurants
"if you love wine and cheese and delicious french fare, you'll love artisanal!",cheese,0,0,restaurants
i love indian food and consider myself to be quite an expert on it.,Indian food,0,0,restaurants
some baby pizzas get their wish.,baby pizzas,2,1,restaurants
overall a oh ya even though there is waiting it is deff worth it,waiting,1,0,restaurants
the lava cake dessert was incredible and i recommend it.,lava cake dessert,0,0,restaurants
vt is what baby pizzas hope to be when they grow up.,baby pizzas,2,1,restaurants
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",service,1,0,restaurants
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",food,1,0,restaurants
"from the terrible service, to the bland food, not to mention the unaccommodating managers, the overall experience was horrible.",managers,1,0,restaurants
lahore is a great place to duck into late-night when you need some really tasty food on the cheap -- you'll likely have trouble finishing the amount of food you get for four dollars.,food,0,0,restaurants
the last time i went we were seated at a table in a corridor next to the kitchen.,table,1,1,restaurants
good selection of wines ranging from affordable to high end.,selection of wines,0,0,restaurants
"nice restaurant overall, with classic upscale italian decor.",Italian decor,0,0,restaurants
not impressed with the food.,food,1,0,restaurants
the entire dining experience was wonderful!,dining experience,0,0,restaurants
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,wine selection,0,0,restaurants
the wine selection (by the glass and bottle) is wonderful and i always recommend that friends make a reservation if they're going to be in town.,reservation,2,0,restaurants
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,Service,0,0,restaurants
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,maitre,0,0,restaurants
service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,reservation,1,0,restaurants
"order the panang duck, it's fantastic.",panang duck,0,0,restaurants
"food is usually very good, though ocasionally i wondered about freshmess of raw vegatables in side orders.",raw vegatables,1,0,restaurants
"other than the crappy service from two individuals, it's great.",service,1,0,restaurants
they have authentic indian at amazin prices.,Indian,0,0,restaurants
they have authentic indian at amazin prices.,prices,0,0,restaurants
ambiance- relaxed and stylish.,Ambiance,0,0,restaurants
"luckily we saved room for the bbq salmon, sea bass and crispy duck.",BBQ Salmon,0,1,restaurants
"luckily we saved room for the bbq salmon, sea bass and crispy duck.",Sea Bass,0,1,restaurants
"luckily we saved room for the bbq salmon, sea bass and crispy duck.",Crispy Duck,0,1,restaurants
"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",ingredients,0,0,restaurants
"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",pizza,1,0,restaurants
"yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.",crust,2,1,restaurants
and yes dal bukhara is so dam good and so are all the kababs.,kababs,0,0,restaurants
and yes dal bukhara is so dam good and so are all the kababs.,Dal Bukhara,0,0,restaurants
i look forward to eating here again,eating,0,0,restaurants
i've been coming here as a child and always come back for the taste.,taste,0,1,restaurants
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,meal,0,0,restaurants
tuk tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,price,0,0,restaurants
"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.",glass of prosecco,0,0,restaurants
"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.",mussels,0,0,restaurants
"a glass of leaping lizard, a glass of prosecco, and the mussels had everything happy.",glass of Leaping Lizard,0,0,restaurants
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",Food,2,0,restaurants
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",creme brulee,1,0,restaurants
"food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",sugar,1,0,restaurants
the food always tastes fresh and served promptly.,food,0,0,restaurants
the food always tastes fresh and served promptly.,served,0,0,restaurants
the pizza here is delicious.,pizza,0,0,restaurants
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",Pizza,0,0,restaurants
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",delivery,0,0,restaurants
"pizza and garlic knots are great as well, i order from them quite often and the delivery is always super quick!",garlic knots,0,0,restaurants
"for great chinese food nearby, you have wu liang ye and grand sichuan just a block away.",chinese food,0,0,restaurants
but who says murray's is anything about service.,service,2,1,restaurants
"this place is really trendi but they have forgotten about the most important part of a  restaurant, the food.",food,1,0,restaurants
hats off to the chef.,chef,0,0,restaurants
"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",Service,1,0,restaurants
"service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.",teapot,0,0,restaurants
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",pizza,0,0,restaurants
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",fresh mozzarella,0,0,restaurants
"the pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.",cheese,1,0,restaurants
its an excellent place to relax and the food is one of the best in the city of new york.,place,0,0,restaurants
its an excellent place to relax and the food is one of the best in the city of new york.,food,0,0,restaurants
"service is friendly, and never had a problem walking in and getting a table.",service,0,0,restaurants
"service is friendly, and never had a problem walking in and getting a table.",getting a table,0,0,restaurants
the atmosphere was crowded but it was a great bistro-type vibe.,bistro-type vibe,0,0,restaurants
"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",waitress,1,0,restaurants
"first off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.",tables,2,1,restaurants
the food was bland oily.,food,1,0,restaurants
"what is even better, is that the prices are very affordable as well, and the food is really good.",prices,0,0,restaurants
"what is even better, is that the prices are very affordable as well, and the food is really good.",food,0,0,restaurants
the fish is fresh but the variety of fish is nothing out of ordinary.,fish,0,0,restaurants
the fish is fresh but the variety of fish is nothing out of ordinary.,variety of fish,1,0,restaurants
"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",pesto pizza,0,0,restaurants
"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",house salad,0,0,restaurants
"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",bottle of wine,0,0,restaurants
"our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.",meal,0,0,restaurants
"and kruno, the beverage manager is the best bartender i have yet to come across.",bartender,0,0,restaurants
"and kruno, the beverage manager is the best bartender i have yet to come across.",beverage manager,0,0,restaurants
"ambiance and music funky, which i enjoy.",Ambiance,0,0,restaurants
"ambiance and music funky, which i enjoy.",music,0,0,restaurants
"the food, drinks and service are clearly among the best in the city.",food,0,0,restaurants
"the food, drinks and service are clearly among the best in the city.",drinks,0,0,restaurants
"the food, drinks and service are clearly among the best in the city.",service,0,0,restaurants
i went there in late afternoon for some bite size food and refleshment with my date.,food,2,1,restaurants
i went there in late afternoon for some bite size food and refleshment with my date.,refleshment,2,1,restaurants
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",ambiance,0,0,restaurants
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",service,0,0,restaurants
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",foods,0,0,restaurants
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",tastes,0,1,restaurants
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",sommlier,0,1,restaurants
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",captain,0,0,restaurants
"i understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",back waiters,0,0,restaurants
"last time i went here, the waitress didn't come back after taking our order.",waitress,1,1,restaurants
try the tandoori salmon!,tandoori salmon,0,1,restaurants
"eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.",atmosphere,0,0,restaurants
"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",space,1,0,restaurants
"granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.",service,0,0,restaurants
i love the atmorphere @ peep!,atmorphere,0,0,restaurants
the service was attentive and her suggestions of menu items was right on the mark.,service,0,0,restaurants
the service was attentive and her suggestions of menu items was right on the mark.,menu items,0,0,restaurants
the other night we had the $30 three course meal and everything was delicious - if i could of licked the plate clean i would of.,three course meal,0,0,restaurants
"even after getting pushed out by the no-class famous ray's, sal has risen again to carry on his father's uncle's legacies with a smile, true love for his community, and let's not forget the outstanding pizza!",Pizza,0,0,restaurants
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",environment,0,0,restaurants
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",food,1,0,restaurants
"the environment is romantic, but the food is horrible, the service is pathetic, and gabriella lies about everything she could.",service,1,0,restaurants
"we had crawfish boiled and despite making a mess, it was a ton of fun and quite tasty as well.",crawfish boiled,0,0,restaurants
i had very high expectations for this place and made a reservation a couple of months in advance for a special occasion.,reservation,2,1,restaurants
what came to our table was burned beyond recognition and stringy.,table,2,0,restaurants
i had the pad thai and the noodles were sticky.,Pad Thai,1,0,restaurants
i had the pad thai and the noodles were sticky.,noodles,1,0,restaurants
"so i've never actually been to m proper, but i've had it delivered a few times.",delivered,2,1,restaurants
"among all of the new 5th avenue restaurants, this offers by far one of the best values for your money.",values for your money,0,1,restaurants
"frankly, when you compare what you can have here for lunch, versus mcds or so many other sandwich shops in the city, there is no comparison.",lunch,0,1,restaurants
the hostess is rude to the point of being offensive.,hostess,1,0,restaurants
"if you're craving for haru's great food, especially the house roll, but can't stand the wait building outisde, head across the street to their sake bar!",food,0,0,restaurants
"if you're craving for haru's great food, especially the house roll, but can't stand the wait building outisde, head across the street to their sake bar!",wait building,1,1,restaurants
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",corridor,1,0,restaurants
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",space,1,0,restaurants
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counters,1,0,restaurants
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",counter,1,1,restaurants
"a narrow corridor leads to a tiny space where there are three tiny white tiled counters, a great deal of mess (stacks of bottles, cans) and a small counter holding 12-14 entrees.",entrees,2,0,restaurants
the food is great.,food,0,0,restaurants
succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,steaks,0,0,restaurants
succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,salads,0,1,restaurants
succulent steaks cooked precisely to your desired 'doneness' accompanied by salads and sides that don't look like leafy road kill.,sides,0,1,restaurants
"lunch came with pickels and slaw, no extra charge.",Lunch,0,1,restaurants
"lunch came with pickels and slaw, no extra charge.",pickels and slaw,2,1,restaurants
decent wine at reasonable prices.,wine,0,0,restaurants
decent wine at reasonable prices.,prices,0,0,restaurants
all conveniently delivered right to the door.,delivered,0,0,restaurants
even the wine by the glass was good.,wine by the glass,0,0,restaurants
would have rather tried terrace in the sky or water club for that price,price,1,1,restaurants
this dish is my favorite and i always get it when i go there and never get tired of it.,dish,0,0,restaurants
"i also ordered the change mojito, which was out of this world.",Change Mojito,0,0,restaurants
okay service.,service,2,0,restaurants
the only thing more wonderful than the food (which is exceptional) is the service.,food,0,0,restaurants
the only thing more wonderful than the food (which is exceptional) is the service.,service,0,0,restaurants
"the food was just awful, atrocious actually.",food,1,0,restaurants
the soup for the udon was soy sauce and water.,soup for the udon,1,1,restaurants
the soup for the udon was soy sauce and water.,soy sauce,2,1,restaurants
the soup for the udon was soy sauce and water.,water,2,1,restaurants
"the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",anti-pasta,0,0,restaurants
"the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",calamari,0,0,restaurants
"the anti-pasta was excellent, especially the calamari, as were the filling pasta mains.",filling pasta mains,0,0,restaurants
the waitress suggested glasses of wine that went very well with the food.,waitress,0,1,restaurants
the waitress suggested glasses of wine that went very well with the food.,food,2,1,restaurants
the waitress suggested glasses of wine that went very well with the food.,glasses of wine,0,0,restaurants
"they might be all business at the counter when you give your order, but their food says i love you.",food,0,0,restaurants
"they might be all business at the counter when you give your order, but their food says i love you.",counter,1,0,restaurants
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sushi,0,0,restaurants
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",ceviche mix (special),0,0,restaurants
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",crab dumplings,0,0,restaurants
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",assorted sashimi,0,0,restaurants
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",rolls,0,0,restaurants
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",sake,0,0,restaurants
"we are very particular about sushi and were both please with every choice which included: ceviche mix (special), crab dumplings, assorted sashimi, sushi and rolls, two types of sake, and the banana tempura.",banana tempura,0,0,restaurants
try their plain pizza with fresh garlic or eggplant.,plain pizza,0,0,restaurants
